threshold,base_value,pct_change,archetype,prevalence,n_matches
gen_trans_age_gap,3.0,-30,upset_realized,0.2141,222
gen_trans_age_gap,3.0,-20,heavyweight_clash,0.0955,99
gen_trans_age_gap,3.0,-20,favorite_vs_underdog,0.3934,408
gen_trans_age_gap,3.0,-20,host_pressure,0.1263,131
gen_trans_age_gap,3.0,-20,generational_transition,0.1842,191
gen_trans_age_gap,3.0,-20,club_power_mismatch,0.1524,158
gen_trans_age_gap,3.0,-20,tactical_contrast,0.2035,211
gen_trans_age_gap,3.0,-20,knockout_volatility,0.0723,75
gen_trans_age_gap,3.0,-20,upset_realized,0.2141,222
gen_trans_age_gap,3.0,-10,heavyweight_clash,0.0955,99
gen_trans_age_gap,3.0,-10,favorite_vs_underdog,0.3934,408
gen_trans_age_gap,3.0,-10,host_pressure,0.1263,131
gen_trans_age_gap,3.0,-10,generational_transition,0.1726,179
gen_trans_age_gap,3.0,-10,club_power_mismatch,0.1524,158
gen_trans_age_gap,3.0,-10,tactical_contrast,0.2035,211
gen_trans_age_gap,3.0,-10,knockout_volatility,0.0723,75
gen_trans_age_gap,3.0,-10,upset_realized,0.2141,222
gen_trans_age_gap,3.0,0,heavyweight_clash,0.0955,99
gen_trans_age_gap,3.0,0,favorite_vs_underdog,0.3934,408
gen_trans_age_gap,3.0,0,host_pressure,0.1263,131
gen_trans_age_gap,3.0,0,generational_transition,0.1678,174
gen_trans_age_gap,3.0,0,club_power_mismatch,0.1524,158
gen_trans_age_gap,3.0,0,tactical_contrast,0.2035,211
gen_trans_age_gap,3.0,0,knockout_volatility,0.0723,75
gen_trans_age_gap,3.0,0,upset_realized,0.2141,222
gen_trans_age_gap,3.0,10,heavyweight_clash,0.0955,99
gen_trans_age_gap,3.0,10,favorite_vs_underdog,0.3934,408
gen_trans_age_gap,3.0,10,host_pressure,0.1263,131
gen_trans_age_gap,3.0,10,generational_transition,0.162,168
gen_trans_age_gap,3.0,10,club_power_mismatch,0.1524,158
gen_trans_age_gap,3.0,10,tactical_contrast,0.2035,211
gen_trans_age_gap,3.0,10,knockout_volatility,0.0723,75
gen_trans_age_gap,3.0,10,upset_realized,0.2141,222
gen_trans_age_gap,3.0,20,heavyweight_clash,0.0955,99
gen_trans_age_gap,3.0,20,favorite_vs_underdog,0.3934,408
gen_trans_age_gap,3.0,20,host_pressure,0.1263,131
gen_trans_age_gap,3.0,20,generational_transition,0.1601,166
gen_trans_age_gap,3.0,20,club_power_mismatch,0.1524,158
gen_trans_age_gap,3.0,20,tactical_contrast,0.2035,211
gen_trans_age_gap,3.0,20,knockout_volatility,0.0723,75
gen_trans_age_gap,3.0,20,upset_realized,0.2141,222
gen_trans_age_gap,3.0,30,heavyweight_clash,0.0955,99
gen_trans_age_gap,3.0,30,favorite_vs_underdog,0.3934,408
gen_trans_age_gap,3.0,30,host_pressure,0.1263,131
gen_trans_age_gap,3.0,30,generational_transition,0.1572,163
gen_trans_age_gap,3.0,30,club_power_mismatch,0.1524,158
gen_trans_age_gap,3.0,30,tactical_contrast,0.2035,211
gen_trans_age_gap,3.0,30,knockout_volatility,0.0723,75
gen_trans_age_gap,3.0,30,upset_realized,0.2141,222
